	filename	TP	FP	FN	recall	precision	jaccardindex	F1score
0	BM_GRAZ_HE_0020_01.csv	338	892	55	0.8600508905852418	0.27479674796747966	0.2630350194552529	0.4165126309303758
1	BM_GRAZ_HE_0003_01.csv	369	598	43	0.8956310679611651	0.3815925542916236	0.36534653465346534	0.5351704133430022
2	BM_GRAZ_HE_0002_02.csv	361	710	35	0.9116161616161617	0.3370681605975724	0.32640144665461124	0.49216087252897067
3	BM_GRAZ_HE_0008_01.csv	325	991	39	0.8928571428571429	0.24696048632218845	0.23985239852398524	0.3869047619047619
4	BM_GRAZ_HE_0006_01.csv	256	1032	36	0.8767123287671232	0.19875776397515527	0.1933534743202417	0.3240506329113924
5	BM_GRAZ_HE_0003_02.csv	379	547	44	0.8959810874704491	0.40928725701943847	0.3907216494845361	0.5618977020014826
6	BM_GRAZ_HE_0001_02.csv	416	1157	36	0.9203539823008849	0.2644628099173554	0.25854568054692356	0.4108641975308642
7	BM_GRAZ_HE_0004_01.csv	379	968	24	0.9404466501240695	0.281365998515219	0.2764405543398979	0.43314285714285716
8	BM_GRAZ_HE_0007_01.csv	269	679	26	0.911864406779661	0.28375527426160335	0.27618069815195073	0.4328238133547868
9	BM_GRAZ_HE_0001_01.csv	320	752	36	0.898876404494382	0.29850746268656714	0.2888086642599278	0.4481792717086835
10	BM_GRAZ_HE_0002_01.csv	389	747	30	0.9284009546539379	0.34242957746478875	0.33361921097770153	0.5003215434083601
